"Server Name","SQL Instance Name","SQL Server Version","SQL Build Number","SQL Edition","Memory Status","Config Status","MaxDop Status","Query Store Status","ADR Status","TempDB Status","Auto Growth Status","Database Options Status","Compatibility Level Status","Trace Flag Status","CHECKDB Status","VLF Status","Full Backup Status","Log Backup Status","Login or User Test Status","SQL Service Accounts Status","Total Server Memory (MB)","Current Min Server Memory (MB)","Recommended Min Server Memory (MB)","Current Max Server Memory (MB)","Recommended Max Server Memory (MB)","Total Visible Processors","Current Max Dop","Recommended Max Dop","Optimize for Ad Hoc Workloads","Backup Compression Default","Remote Admin Connections","Databases out of native compatibility","Database Options Divergence","Unlimited AutoGrow","AutoGrow by Percentage","Large Increment AutoGrow","Trace Flag List","DBs with missing CHECKDB in the last 7 days","DBs with too many VLFs","DBs missing Full Backup in the last 7 days","DBs missing Log Backup (With full rec model)","Login and Users validation","Query Store Details","ADR Details","SQL Service Accounts Details","TempDB Data Files Count","TempDB Data Files Size"
"SQL01","DEFAULT","SQL Server 2019","15.0.2000.5","Developer Edition (64-bit)","REVIEW","REVIEW","OK","OK","OK","OK","REVIEW","OK","OK","OK","REVIEW","OK","REVIEW","OK","OK","OK","4094","16","1024","2125","3070","8","8","8","0","0","0","All databases are in native compatibility level!","All settings are OK!","Unlimited AutoGrow: master, mastlog, tempdev, templog, temp2, temp3, temp4, temp5, temp6, temp7, temp8, modeldev, modellog, MSDBData,","AutoGrow by percentage: master, mastlog, MSDBData, MSDBLog,","No files have large increments for AutoGrow.","1819, 4199, 7745, 12310","master, model, msdb","All databases are OK","DBs: master, msdb","Not applicable because the databases are using the SIMPLE recovery model.","No logins or users with 'test' found","This SQL version don't have Query Store feature available","This SQL version does not have Accelerated Database Recovery feature available","SQL Server (MSSQLSERVER) Account: DCOE\_ce-sql-gmsa$ | SQL Server Agent (MSSQLSERVER) Account: DCOE\_ce-sql-gmsa$","8","All data files have the same size"
"SQL01","DELINEA","SQL Server 2019","15.0.2000.5","Developer Edition (64-bit)","REVIEW","REVIEW","OK","OK","OK","OK","REVIEW","OK","OK","REVIEW","REVIEW","OK","REVIEW","REVIEW","OK","OK","4094","16","1024","2125","3070","8","8","8","0","0","0","All databases are in native compatibility level!","All settings are OK!","Unlimited AutoGrow: master, mastlog, tempdev, templog, temp2, temp3, temp4, temp5, temp6, temp7, temp8, modeldev, modellog, MSDBData, TESTDB,","AutoGrow by percentage: master, mastlog, MSDBData, MSDBLog,","No files have large increments for AutoGrow.","No trace flags enabled","master, model, msdb, TESTDB","All databases are OK","DBs: master, msdb, TESTDB","DBs: TESTDB","No logins or users with 'test' found","This SQL version don't have Query Store feature available","This SQL version does not have Accelerated Database Recovery feature available","SQL Server (MSSQLSERVER) Account: DCOE\_ce-sql-gmsa$ | SQL Server Agent (MSSQLSERVER) Account: DCOE\_ce-sql-gmsa$ | SQL Server (DELINEA) Account: DCOE\_ce-sql-gmsa$ | SQL Server Agent (DELINEA) Account: DCOE\_ce-sql-gmsa$","8","All data files have the same size"
